series_name,Episode,series_ep,season,season_ep,url,UserRating,UserVotes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
Game of Thrones,A Knight of the Seven Kingdoms,69,8,2,http://www.imdb.com/title/tt6027908/?ref_=ttep_ep2,7.8,120620,0.11231139114574698,0.018744818438069973,0.017874316033825235,0.020212236776653954,0.035781794064002656,0.04913778809484331,0.09606201293317858,0.16816448350190683,0.19354170121041286,0.28816945780135966
Game of Thrones,The Long Night,70,8,3,http://www.imdb.com/title/tt6027912/?ref_=ttep_ep3,7.5,201138,0.1447115910469429,0.0295816802394376,0.03246527259891219,0.0323360081138323,0.047047300858117314,0.0522924559257823,0.06925096202607166,0.08315186588312502,0.10177092344559456,0.4073919398621842
Game of Thrones,The Last of the Starks,71,8,4,http://www.imdb.com/title/tt6027914/?ref_=ttep_ep4,5.5,153522,0.2520420526048384,0.05472831255455244,0.05848673154336186,0.0623168015007621,0.08785711494118106,0.08553171532418806,0.08690611117624836,0.08620914266359218,0.06343064837612851,0.16249136931514702
Game of Thrones,The Bells,72,8,5,http://www.imdb.com/title/tt6027916/?ref_=ttep_ep5,6.0,178780,0.23476339635305962,0.05419510012305627,0.051661259648730286,0.05075511802215013,0.06881082895178432,0.06507998657567961,0.06751314464705224,0.07894619084908827,0.08925495021814521,0.23902002461125404
Game of Thrones,The Iron Throne,73,8,6,http://www.imdb.com/title/tt6027920/?ref_=ttep_ep6,4.1,222243,0.44450893841425826,0.07759974442389636,0.06989196510126303,0.05427392538797622,0.05157417781437436,0.04042422033539864,0.04163460716423015,0.04663363975468294,0.039101344024333726,0.13435743757958632
Rick & Morty,Pilot,1,1,1,http://www.imdb.com/title/tt2169080/?ref_=ttep_ep1,8.0,10280,0.042412451361867706,0.002626459143968872,0.005058365758754864,0.00933852140077821,0.021400778210116732,0.057003891050583656,0.16361867704280156,0.31313229571984436,0.177431906614786,0.20797665369649806
Rick & Morty,Lawnmower Dog,2,1,2,http://www.imdb.com/title/tt3333824/?ref_=ttep_ep2,8.8,10297,0.06438768573370884,0.001456734971350879,0.0020394289598912306,0.0024278916189181313,0.00738079052151112,0.023210643876857336,0.07545887151597552,0.20180635136447508,0.30698261629600854,0.3148489851413033
Rick & Morty,Anatomy Park,3,1,3,http://www.imdb.com/title/tt3333828/?ref_=ttep_ep3,8.4,9383,0.05275498241500586,0.0012789086646062028,0.0024512416071618883,0.0036235745497175745,0.011083875093253757,0.036875199829478844,0.12213577746989236,0.293189811360972,0.24587019077054248,0.23073643823936907
Rick & Morty,M. Night Shaym-Aliens!,4,1,4,http://www.imdb.com/title/tt3333830/?ref_=ttep_ep4,8.7,9458,0.0657644322266864,5.286529921759357e-4,0.0017974201733981815,0.0028547261577500527,0.007929794882639035,0.02188623387608374,0.0748572636921125,0.2055402833580038,0.31074222880101504,0.30809896384013535
Rick & Morty,Meeseeks and Destroy,5,1,5,http://www.imdb.com/title/tt3333832/?ref_=ttep_ep5,9.0,10645,0.06444340065758572,9.394081728511038e-4,0.0014091122592766556,0.0020666979802724285,0.006763738844527948,0.0199154532644434,0.049976514795678724,0.13161108501643964,0.2912165335838422,0.4316580554250822
Rick & Morty,Rick Potion #9,6,1,6,http://www.imdb.com/title/tt3333834/?ref_=ttep_ep6,9.1,10430,0.06462128475551294,5.752636625119846e-4,0.0013422818791946308,0.0036433365292425695,0.00738255033557047,0.015148609779482262,0.04956855225311601,0.12981783317353787,0.26548418024928094,0.46241610738255035
Rick & Morty,Raising Gazorpazorp,7,1,7,http://www.imdb.com/title/tt3333836/?ref_=ttep_ep7,8.0,8684,0.05320128972823584,0.0031091662828189775,0.00426070935052971,0.007254721326577614,0.016582220175034548,0.057231690465223396,0.1794104099493321,0.32243205895900506,0.1685859051128512,0.1879318286503915
Rick & Morty,Rixty Minutes,8,1,8,http://www.imdb.com/title/tt3333838/?ref_=ttep_ep8,8.8,9784,0.07113654946852004,0.0031684382665576453,0.002555192150449714,0.007154538021259199,0.011242845461978741,0.03219542109566639,0.0767579721995094,0.16782502044153721,0.24161896974652494,0.3863450531479967
Rick & Morty,Something Ricked This Way Comes,9,1,9,http://www.imdb.com/title/tt3333840/?ref_=ttep_ep9,8.5,8623,0.0600719007306042,0.0012756581236228691,0.0025513162472457383,0.003942943291197959,0.009741389307665545,0.02493331787081062,0.10680737562333295,0.2685840194827786,0.2692798330047547,0.25281224631798677
Rick & Morty,Close Rick-Counters of the Rick Kind,10,1,10,http://www.imdb.com/title/tt3333846/?ref_=ttep_ep10,9.4,10935,0.06355738454503887,4.572473708276177e-4,8.230452674897119e-4,0.0015546410608139004,0.0042981252857796064,0.009693644261545497,0.0283493369913123,0.083493369913123,0.22706904435299496,0.5807041609510746
Rick & Morty,Ricksy Business,11,1,11,http://www.imdb.com/title/tt3333854/?ref_=ttep_ep11,8.5,8332,0.06325012001920308,0.0013202112337974076,0.0020403264522323573,0.0028804608737397984,0.011521843494959194,0.027484397503600575,0.10057609217474796,0.26728276524243877,0.264402304368699,0.25924147863658187
Rick & Morty,A Rickle in Time,12,2,1,http://www.imdb.com/title/tt4462494/?ref_=ttep_ep1,8.9,9434,0.07292770828916684,0.001377994488022048,9.539961840152639e-4,0.0038159847360610556,0.007313970744117024,0.018973924104303583,0.06391774432902268,0.1695993216027136,0.2833368666525334,0.3777824888700445
Rick & Morty,Mortynight Run,13,2,2,http://www.imdb.com/title/tt4832254/?ref_=ttep_ep2,8.9,9008,0.07670959147424511,3.330373001776199e-4,0.0014431616341030195,0.003108348134991119,0.0053285968028419185,0.017761989342806393,0.0636101243339254,0.17240230905861456,0.2873001776198934,0.3720026642984014
Rick & Morty,Auto Erotic Assimilation,14,2,3,http://www.imdb.com/title/tt4832260/?ref_=ttep_ep3,8.6,8784,0.07183515482695811,0.0012522768670309653,0.0023907103825136613,0.003870673952641166,0.008765938069216758,0.02743624772313297,0.09107468123861566,0.2290528233151184,0.25170765027322406,0.3126138433515483
